Country,State Code,State Name,Town Code,Town Name
dz,,,456210405,Tīzī Wazū
dz,,,453186711,Umm-al-Bawāġī
dz,,,452537938,Wahrān
dz,,,439110534,Warqlā
ec,,,,-- please select
ec,,,319546138,Ambato
ec,,,314146116,Azogues
ec,,,317530046,Babahoyo
ec,,,313570099,Cuenca
ec,,,327430033,Esmeraldas
ec,,,318214099,Guaranda
ec,,,316054010,Guayaquil
ec,,,325306187,Ibarra
ec,,,320662139,Latacunga
ec,,,309646079,Loja
ec,,,312274004,Machala
ec,,,320553928,Manta
ec,,,320193954,Portoviejo
ec,,,320338052,Quevedo
ec,,,323326150,Quito
ec,,,317998135,Riobamba
eg,,,,-- please select
eg,,,436412995,Alexandria
eg,,,410709292,Aswan
eg,,,421905118,Asyut
eg,,,433713118,Benha
eg,,,428709109,Beni Suef
eg,,,432237125,Cairo
eg,,,435765047,Damanhoor
eg,,,437133182,Damietta
eg,,,436089380,El Arish
eg,,,433029174,El Asher men Ramadan
eg,,,429537084,El Faiyum
eg,,,435765138,El Mansura
eg,,,434109150,El Zagazig
eg,,,432057121,Gizeh
eg,,,434145226,Ismailia
eg,,,436017093,Kafr el Sheikh
eg,,,433389050,Madīnat as-Sādāt
eg,,,425145075,Menia
eg,,,436557229,Port Said
eg,,,418161272,Qena
eg,,,434037100,Shebin-El-Kom
eg,,,419601169,Sohag
eg,,,434865100,Tanta
er,,,,-- please select
er,,,379209894,Āsmara
eh,,,,-- please select
es,,,,-- please select
es,,,480005158,A Coruña
es,,,462077952,Alacant
es,,,469745663,Alcalá de Henares
es,,,456605757,Almería
es,,,479105751,Arrasate
es,,,470429530,Ávila
es,,,463985303,Badajoz
es,,,460817652,Baeza
es,,,473058217,Barcelona
es,,,479717707,Bilbao
